,Age,Country,EdLevel,YearsCodePro,RemoteWork,Salary
62971,35-44 years old,Germany,Master’s degree,10.0,Hybrid,95979.0
62977,25-34 years old,Germany,Master’s degree,8.0,Hybrid,67186.0
62980,18-24 years old,Germany,Less than a Bachelors,4.0,Hybrid,38772.0
62983,Over 45,Australia,Bachelor’s degree,27.0,Hybrid,95541.0
62988,18-24 years old,Spain,Bachelor’s degree,0.5,Hybrid,27194.0
62991,35-44 years old,Spain,Less than a Bachelors,10.0,Person,31993.0
62994,Over 45,France,Bachelor’s degree,15.0,Remote,53322.0
62995,Over 45,Norway,Less than a Bachelors,20.0,Hybrid,62223.0
63002,25-34 years old,Poland,Master’s degree,7.0,Remote,55500.0
63004,Over 45,United Kingdom of Great Britain and Northern Ireland,Post grad,36.0,Hybrid,40205.0
63005,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,20.0,Hybrid,81666.0
63014,35-44 years old,Switzerland,Master’s degree,15.0,Hybrid,113761.0
63025,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,3.0,Hybrid,81666.0
63029,35-44 years old,Spain,Master’s degree,10.0,Hybrid,88514.0
63034,35-44 years old,Poland,Master’s degree,15.0,Remote,180000.0
63035,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,Remote,90460.0
63036,18-24 years old,India,Bachelor’s degree,2.0,Hybrid,23215.0
63037,25-34 years old,Norway,Master’s degree,10.0,Hybrid,111312.0
63038,35-44 years old,Portugal,Bachelor’s degree,17.0,Remote,84456.0
63041,35-44 years old,Netherlands,Less than a Bachelors,3.0,Remote,72518.0
63042,25-34 years old,Netherlands,Bachelor’s degree,11.0,Hybrid,159966.0
63045,25-34 years old,Russian Federation,Less than a Bachelors,6.0,Person,42996.0
63048,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,Hybrid,96114.0
63057,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,Remote,81666.0
63064,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,14.0,Hybrid,79153.0
63066,35-44 years old,India,Bachelor’s degree,11.0,Person,26316.0
63072,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,24.0,Remote,150767.0
63076,18-24 years old,Poland,Bachelor’s degree,2.0,Remote,27756.0
63078,35-44 years old,Portugal,Bachelor’s degree,12.0,Remote,63986.0
63086,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,Hybrid,33923.0
63089,35-44 years old,Portugal,Master’s degree,7.0,Remote,38388.0
63101,35-44 years old,Germany,Master’s degree,12.0,Hybrid,106644.0
63104,25-34 years old,United States of America,Bachelor’s degree,8.0,Remote,130000.0
63107,25-34 years old,India,Bachelor’s degree,9.0,Hybrid,34822.0
63110,25-34 years old,Finland,Bachelor’s degree,6.0,Hybrid,90647.0
63115,Over 45,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,27.0,Person,69102.0
63118,25-34 years old,Germany,Master’s degree,2.0,Hybrid,57588.0
63119,25-34 years old,Canada,Bachelor’s degree,13.0,Remote,97605.0
63123,25-34 years old,Netherlands,Post grad,4.0,Hybrid,53322.0
63124,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,Remote,106793.0
63132,18-24 years old,Poland,Less than a Bachelors,4.0,Remote,17340.0
63134,25-34 years old,Poland,Master’s degree,8.0,Hybrid,38856.0
63136,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,1.0,Remote,62820.0
63139,25-34 years old,Czech Republic,Master’s degree,5.0,Hybrid,25980.0
63140,35-44 years old,France,Master’s degree,15.0,Remote,47990.0
63141,25-34 years old,Italy,Master’s degree,2.0,Hybrid,21756.0
63142,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,17.0,Hybrid,60307.0
63145,25-34 years old,Germany,Master’s degree,5.0,Hybrid,63986.0
63148,18-24 years old,India,Bachelor’s degree,3.0,Hybrid,38692.0
63150,Over 45,Germany,Post grad,29.0,Hybrid,138637.0
63154,Over 45,Germany,Master’s degree,27.0,Remote,58872.0
63156,25-34 years old,Germany,Master’s degree,6.0,Remote,60787.0
63158,25-34 years old,South Africa,Bachelor’s degree,4.0,Person,22764.0
63159,35-44 years old,Netherlands,Bachelor’s degree,9.0,Remote,191959.0
63160,Under 18 years old,Switzerland,Less than a Bachelors,0.5,Person,10548.0
63161,25-34 years old,Germany,Less than a Bachelors,0.5,Person,33276.0
63162,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,18.0,Remote,105537.0
63163,25-34 years old,Netherlands,Less than a Bachelors,8.0,Remote,127972.0
63165,25-34 years old,France,Master’s degree,2.0,Hybrid,74651.0
63166,25-34 years old,Germany,Less than a Bachelors,6.0,Remote,64632.0
63172,35-44 years old,Netherlands,Master’s degree,11.0,Hybrid,70380.0
63176,25-34 years old,India,Master’s degree,5.0,Hybrid,30953.0
63177,Over 45,Norway,Master’s degree,0.5,Hybrid,62223.0
63180,Over 45,Germany,Master’s degree,22.0,Hybrid,44796.0
63183,25-34 years old,Switzerland,Post grad,4.0,Hybrid,124103.0
63185,35-44 years old,Spain,Post grad,10.0,Hybrid,53322.0
63186,35-44 years old,Russian Federation,Post grad,17.0,Remote,16620.0
63187,25-34 years old,Germany,Bachelor’s degree,2.0,Hybrid,69318.0
63192,18-24 years old,India,Bachelor’s degree,1.0,Person,15477.0
63202,Over 45,Netherlands,Bachelor’s degree,27.0,Hybrid,83184.0
63205,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,Remote,47115.0
63208,35-44 years old,Germany,Post grad,10.0,Hybrid,149301.0
63211,35-44 years old,Israel,Bachelor’s degree,1.0,Hybrid,71748.0
63212,35-44 years old,Norway,Master’s degree,7.0,Hybrid,70001.0
63213,25-34 years old,Canada,Post grad,6.0,Hybrid,117126.0
63214,25-34 years old,Switzerland,Master’s degree,3.0,Hybrid,103419.0
63216,18-24 years old,Norway,Bachelor’s degree,0.5,Hybrid,51853.0
63219,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,Hybrid,38320.0
63221,25-34 years old,Germany,Bachelor’s degree,10.0,Remote,55032.0
63224,25-34 years old,Czech Republic,Less than a Bachelors,1.0,Hybrid,21828.0
63230,18-24 years old,Poland,Less than a Bachelors,1.0,Hybrid,18312.0
63231,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,Hybrid,27641.0
63237,35-44 years old,Spain,Bachelor’s degree,15.0,Remote,47990.0
63238,25-34 years old,Poland,Master’s degree,0.5,Hybrid,26364.0
63239,25-34 years old,France,Master’s degree,4.0,Person,30708.0
63244,18-24 years old,India,Bachelor’s degree,4.0,Person,15477.0
63249,25-34 years old,Germany,Less than a Bachelors,5.0,Hybrid,51192.0
63252,25-34 years old,France,Master’s degree,10.0,Hybrid,60787.0
63255,25-34 years old,Italy,Bachelor’s degree,1.0,Hybrid,16632.0
63257,18-24 years old,Germany,Bachelor’s degree,4.0,Hybrid,53322.0
63258,25-34 years old,Belgium,Bachelor’s degree,9.0,Hybrid,95339.0
63263,25-34 years old,United States of America,Bachelor’s degree,8.0,Remote,130000.0
63265,Over 45,Germany,Post grad,23.0,Person,170630.0
63266,25-34 years old,Italy,Master’s degree,6.0,Person,28794.0
63272,25-34 years old,United States of America,Post grad,3.0,Person,140000.0
63273,25-34 years old,Germany,Bachelor’s degree,6.0,Hybrid,61853.0
63274,25-34 years old,Sweden,Bachelor’s degree,3.0,Hybrid,46320.0
63276,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,Remote,157049.0
63277,Over 45,Canada,Master’s degree,27.0,Remote,89797.0
63281,18-24 years old,France,Master’s degree,2.0,Hybrid,73883.0
63283,25-34 years old,Belgium,Bachelor’s degree,4.0,Hybrid,53748.0
63284,18-24 years old,Germany,Less than a Bachelors,2.0,Hybrid,49908.0
63287,35-44 years old,Sweden,Master’s degree,14.0,Hybrid,253946.0
63289,Over 45,Italy,Post grad,4.0,Person,31992.0
63290,25-34 years old,Denmark,Bachelor’s degree,2.0,Hybrid,68828.0
63297,25-34 years old,India,Bachelor’s degree,10.0,Hybrid,38692.0
63299,Over 45,Germany,Less than a Bachelors,10.0,Hybrid,71664.0
63301,Over 45,United States of America,Bachelor’s degree,26.0,Remote,180000.0
63303,Over 45,United States of America,Bachelor’s degree,20.0,Hybrid,87000.0
63311,Over 45,Poland,Less than a Bachelors,19.0,Hybrid,41625.0
63312,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,Hybrid,31410.0
63314,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,11.0,Hybrid,75384.0
63319,25-34 years old,Canada,Master’s degree,3.0,Hybrid,58563.0
63320,25-34 years old,Germany,Master’s degree,3.0,Hybrid,59604.0
63321,18-24 years old,Italy,Less than a Bachelors,2.0,Person,17916.0
63322,25-34 years old,Turkey,Bachelor’s degree,3.0,Hybrid,37584.0
63323,25-34 years old,Germany,Bachelor’s degree,3.0,Hybrid,63984.0
63324,18-24 years old,Portugal,Bachelor’s degree,0.5,Hybrid,28988.0
63328,25-34 years old,France,Master’s degree,3.0,Remote,74651.0
63331,25-34 years old,Switzerland,Master’s degree,2.0,Person,82736.0
63336,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,Person,33923.0
63337,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,Remote,82922.0
63339,25-34 years old,India,Bachelor’s degree,6.0,Hybrid,32243.0
63342,25-34 years old,India,Bachelor’s degree,11.0,Hybrid,61907.0
63352,25-34 years old,Czech Republic,Bachelor’s degree,7.0,Remote,41568.0
63353,25-34 years old,Italy,Master’s degree,4.0,Hybrid,21756.0
63354,25-34 years old,India,Bachelor’s degree,9.0,Hybrid,41271.0
63356,18-24 years old,France,Master’s degree,2.0,Person,27516.0
63357,25-34 years old,Italy,Bachelor’s degree,0.5,Hybrid,287940.0
63359,25-34 years old,Belgium,Bachelor’s degree,2.0,Hybrid,28020.0
63360,25-34 years old,United States of America,Bachelor’s degree,4.0,Hybrid,150000.0
63364,35-44 years old,Germany,Post grad,20.0,Hybrid,85315.0
63371,35-44 years old,Sweden,Master’s degree,12.0,Remote,67044.0
63375,25-34 years old,United States of America,Bachelor’s degree,2.0,Remote,180000.0
63378,25-34 years old,Portugal,Bachelor’s degree,8.0,Hybrid,43191.0
63379,Over 45,United States of America,Less than a Bachelors,32.0,Remote,97500.0
63380,35-44 years old,Canada,Post grad,20.0,Hybrid,67152.0
63382,Over 45,Switzerland,Master’s degree,18.0,Hybrid,139616.0
63389,25-34 years old,United States of America,Post grad,7.0,Remote,190000.0
63391,25-34 years old,Germany,Bachelor’s degree,7.0,Hybrid,69318.0
63392,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,7.0,Remote,100511.0
63393,25-34 years old,Poland,Post grad,5.0,Remote,72000.0
63396,18-24 years old,United States of America,Bachelor’s degree,2.0,Hybrid,60000.0
63398,Over 45,Netherlands,Less than a Bachelors,50.0,Remote,127972.0
63399,25-34 years old,Spain,Master’s degree,11.0,Remote,85315.0
63400,Over 45,South Africa,Bachelor’s degree,22.0,Remote,64860.0
63402,25-34 years old,Netherlands,Bachelor’s degree,5.0,Hybrid,51192.0
63416,25-34 years old,United States of America,Bachelor’s degree,5.0,Hybrid,150000.0
63418,25-34 years old,Canada,Less than a Bachelors,10.0,Remote,195210.0
63421,25-34 years old,Greece,Master’s degree,8.0,Person,42657.0
63433,18-24 years old,Germany,Bachelor’s degree,4.0,Hybrid,53322.0
63434,Over 45,Israel,Master’s degree,25.0,Remote,71748.0
63437,35-44 years old,Spain,Less than a Bachelors,17.0,Remote,34126.0
63439,35-44 years old,Poland,Less than a Bachelors,17.0,Person,18036.0
63442,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,Hybrid,75384.0
63443,25-34 years old,Switzerland,Less than a Bachelors,4.0,Person,49641.0
63447,18-24 years old,Canada,Bachelor’s degree,3.0,Hybrid,64029.0
63448,35-44 years old,United States of America,Bachelor’s degree,10.0,Remote,140000.0
63454,18-24 years old,Brazil,Bachelor’s degree,3.0,Hybrid,13716.0
63455,35-44 years old,Spain,Master’s degree,15.0,Hybrid,56521.0
63456,25-34 years old,France,Bachelor’s degree,4.0,Hybrid,26880.0
63460,Over 45,Italy,Less than a Bachelors,25.0,Hybrid,23040.0
63472,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,14.0,Remote,110563.0
63475,25-34 years old,Spain,Bachelor’s degree,2.0,Remote,26661.0
63476,35-44 years old,Netherlands,Less than a Bachelors,17.0,Person,66119.0
63477,18-24 years old,United States of America,Bachelor’s degree,4.0,Hybrid,180000.0
63481,25-34 years old,United States of America,Bachelor’s degree,7.0,Remote,150000.0
63482,25-34 years old,Switzerland,Master’s degree,5.0,Hybrid,74460.0
63483,25-34 years old,Netherlands,Bachelor’s degree,4.0,Hybrid,76788.0
63485,35-44 years old,United States of America,Less than a Bachelors,4.0,Remote,145000.0
63486,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,Remote,100511.0
63489,35-44 years old,Netherlands,Bachelor’s degree,14.0,Hybrid,93846.0
63490,25-34 years old,India,Master’s degree,9.0,Remote,20892.0
63492,35-44 years old,Germany,Less than a Bachelors,11.0,Hybrid,106644.0
63493,25-34 years old,India,Bachelor’s degree,5.0,Remote,12897.0
63494,Over 45,Brazil,Less than a Bachelors,15.0,Hybrid,17448.0
63499,25-34 years old,United States of America,Less than a Bachelors,1.0,Hybrid,102000.0
63500,25-34 years old,Italy,Less than a Bachelors,3.0,Hybrid,17280.0
63505,25-34 years old,Brazil,Bachelor’s degree,10.0,Remote,37392.0
63507,18-24 years old,Portugal,Master’s degree,3.0,Hybrid,30927.0
63508,35-44 years old,Spain,Bachelor’s degree,13.0,Hybrid,42657.0
63509,25-34 years old,Germany,Less than a Bachelors,15.0,Remote,111976.0
63510,25-34 years old,Canada,Master’s degree,5.0,Remote,101509.0
63511,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,Remote,50256.0
63515,25-34 years old,Turkey,Master’s degree,6.0,Remote,22548.0
63517,Over 45,Australia,Bachelor’s degree,38.0,Hybrid,113234.0
63519,18-24 years old,Portugal,Less than a Bachelors,4.0,Hybrid,26661.0
63523,25-34 years old,South Africa,Less than a Bachelors,10.0,Hybrid,56136.0
63525,35-44 years old,United States of America,Bachelor’s degree,7.0,Remote,101200.0
63526,25-34 years old,United States of America,Bachelor’s degree,7.0,Remote,117000.0
63528,18-24 years old,United States of America,Less than a Bachelors,5.0,Person,70000.0
63529,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Post grad,16.0,Hybrid,201023.0
63530,35-44 years old,Netherlands,Master’s degree,7.0,Remote,90647.0
63531,25-34 years old,Italy,Less than a Bachelors,2.0,Hybrid,17280.0
63534,25-34 years old,Netherlands,Bachelor’s degree,8.0,Hybrid,85315.0
63539,25-34 years old,United States of America,Master’s degree,7.0,Remote,187000.0
63542,18-24 years old,India,Bachelor’s degree,3.0,Remote,12897.0
63549,Over 45,Netherlands,Bachelor’s degree,21.0,Hybrid,83182.0
63555,25-34 years old,Austria,Master’s degree,3.0,Hybrid,35832.0
63556,25-34 years old,Poland,Master’s degree,5.0,Remote,49956.0
63557,25-34 years old,Germany,Master’s degree,9.0,Hybrid,72516.0
63559,25-34 years old,United States of America,Master’s degree,8.0,Hybrid,125000.0
63561,18-24 years old,Finland,Bachelor’s degree,2.0,Hybrid,53322.0
63565,35-44 years old,Australia,Master’s degree,3.0,Hybrid,67233.0
63567,35-44 years old,United States of America,Bachelor’s degree,17.0,Hybrid,160000.0
63572,25-34 years old,United States of America,Bachelor’s degree,12.0,Hybrid,150000.0
63576,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,21.0,Hybrid,118101.0
63577,35-44 years old,United States of America,Bachelor’s degree,15.0,Remote,145000.0
63579,25-34 years old,Switzerland,Bachelor’s degree,4.0,Hybrid,113761.0
63582,25-34 years old,Canada,Bachelor’s degree,6.0,Hybrid,83550.0
63583,25-34 years old,Netherlands,Bachelor’s degree,8.0,Hybrid,106644.0
63586,35-44 years old,Russian Federation,Master’s degree,14.0,Hybrid,47796.0
63587,35-44 years old,United States of America,Bachelor’s degree,12.0,Remote,160000.0
63591,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,12.0,Remote,51512.0
63594,35-44 years old,Canada,Master’s degree,5.0,Remote,70276.0
63595,25-34 years old,Denmark,Bachelor’s degree,5.0,Hybrid,72264.0
63598,18-24 years old,Canada,Less than a Bachelors,2.0,Remote,50755.0
63599,35-44 years old,United States of America,Bachelor’s degree,15.0,Remote,138000.0
63600,35-44 years old,Israel,Bachelor’s degree,10.0,Hybrid,179352.0
63607,35-44 years old,Germany,Less than a Bachelors,6.0,Remote,53748.0
63611,25-34 years old,Poland,Less than a Bachelors,5.0,Person,28308.0
63616,35-44 years old,United States of America,Bachelor’s degree,17.0,Remote,113000.0
63617,35-44 years old,United States of America,Bachelor’s degree,12.0,Remote,200000.0
63618,25-34 years old,Germany,Master’s degree,8.0,Hybrid,83653.0
63623,18-24 years old,Germany,Less than a Bachelors,1.0,Remote,54388.0
63628,25-34 years old,Canada,Less than a Bachelors,9.0,Remote,93701.0
63631,35-44 years old,United States of America,Less than a Bachelors,14.0,Person,106000.0
63632,Over 45,United States of America,Bachelor’s degree,35.0,Hybrid,120000.0
63633,25-34 years old,United States of America,Bachelor’s degree,11.0,Hybrid,173000.0
63634,18-24 years old,Turkey,Bachelor’s degree,2.0,Remote,22549.0
63635,35-44 years old,United States of America,Less than a Bachelors,19.0,Remote,210000.0
63641,25-34 years old,United States of America,Master’s degree,5.0,Hybrid,175000.0
63649,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,Hybrid,75384.0
63652,25-34 years old,Germany,Less than a Bachelors,5.0,Hybrid,34548.0
63653,18-24 years old,Brazil,Bachelor’s degree,1.0,Hybrid,11964.0
63655,18-24 years old,France,Master’s degree,1.0,Hybrid,35192.0
63657,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,7.0,Hybrid,43974.0
63658,35-44 years old,Italy,Bachelor’s degree,10.0,Remote,53322.0
63661,35-44 years old,Italy,Master’s degree,5.0,Person,18552.0
63665,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,Hybrid,100511.0
63668,35-44 years old,Canada,Less than a Bachelors,12.0,Remote,71837.0
63670,25-34 years old,United States of America,Bachelor’s degree,10.0,Remote,230000.0
63673,18-24 years old,United States of America,Bachelor’s degree,2.0,Remote,100000.0
63674,25-34 years old,Germany,Bachelor’s degree,15.0,Hybrid,159966.0
63678,Over 45,United Kingdom of Great Britain and Northern Ireland,Post grad,19.0,Remote,106793.0
63682,18-24 years old,United States of America,Less than a Bachelors,3.0,Remote,150000.0
63683,25-34 years old,Germany,Master’s degree,1.0,Hybrid,74651.0
63686,25-34 years old,Russian Federation,Bachelor’s degree,7.0,Remote,29580.0
63694,Over 45,United States of America,Bachelor’s degree,26.0,Remote,110000.0
63695,18-24 years old,Germany,Less than a Bachelors,4.0,Remote,48624.0
63696,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,Hybrid,56538.0
63699,35-44 years old,Brazil,Bachelor’s degree,16.0,Person,22440.0
63701,18-24 years old,Germany,Bachelor’s degree,2.0,Remote,54384.0
63702,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,18.0,Remote,94230.0
63703,25-34 years old,United States of America,Bachelor’s degree,6.0,Hybrid,90000.0
63704,Over 45,United States of America,Master’s degree,30.0,Remote,200000.0
63705,25-34 years old,Brazil,Master’s degree,6.0,Remote,44400.0
63707,25-34 years old,Italy,Bachelor’s degree,5.0,Remote,43724.0
63710,25-34 years old,Germany,Bachelor’s degree,4.0,Remote,70385.0
63713,25-34 years old,United States of America,Bachelor’s degree,6.0,Hybrid,90000.0
63714,18-24 years old,Canada,Bachelor’s degree,1.0,Hybrid,62467.0
63715,25-34 years old,France,Bachelor’s degree,1.0,Hybrid,19200.0
63716,25-34 years old,Spain,Bachelor’s degree,0.5,Remote,63986.0
63719,18-24 years old,Canada,Bachelor’s degree,1.0,Hybrid,53097.0
63722,25-34 years old,Russian Federation,Less than a Bachelors,6.0,Remote,42600.0
63723,25-34 years old,United States of America,Bachelor’s degree,6.0,Remote,160000.0
63725,Over 45,United States of America,Master’s degree,27.0,Remote,118000.0
63728,25-34 years old,United States of America,Bachelor’s degree,4.0,Hybrid,95000.0
63733,35-44 years old,United States of America,Bachelor’s degree,15.0,Remote,150000.0
63736,25-34 years old,Canada,Bachelor’s degree,10.0,Hybrid,78084.0
63740,25-34 years old,Israel,Less than a Bachelors,8.0,Hybrid,233160.0
63743,18-24 years old,France,Master’s degree,5.0,Person,38392.0
63745,18-24 years old,Canada,Less than a Bachelors,4.0,Remote,101509.0
63746,35-44 years old,United States of America,Bachelor’s degree,21.0,Remote,160000.0
63747,35-44 years old,United States of America,Bachelor’s degree,18.0,Remote,187000.0
63750,25-34 years old,United States of America,Bachelor’s degree,10.0,Remote,175000.0
63752,25-34 years old,United States of America,Bachelor’s degree,5.0,Remote,93000.0
63753,35-44 years old,Mexico,Bachelor’s degree,10.0,Remote,48168.0
63756,35-44 years old,Canada,Bachelor’s degree,7.0,Remote,179593.0
63757,25-34 years old,United States of America,Bachelor’s degree,7.0,Remote,80000.0
63761,25-34 years old,United States of America,Bachelor’s degree,0.5,Hybrid,76000.0
63765,35-44 years old,United States of America,Bachelor’s degree,15.0,Remote,160000.0
63767,25-34 years old,United States of America,Bachelor’s degree,8.0,Hybrid,210000.0
63768,35-44 years old,Canada,Master’s degree,11.0,Hybrid,66372.0
63774,25-34 years old,Brazil,Bachelor’s degree,8.0,Remote,36561.0
63778,Over 45,United States of America,Less than a Bachelors,24.0,Remote,138000.0
63779,35-44 years old,Germany,Bachelor’s degree,11.0,Remote,69318.0
63781,25-34 years old,United States of America,Bachelor’s degree,12.0,Remote,165000.0
63783,Over 45,United States of America,Bachelor’s degree,30.0,Remote,190000.0
63786,25-34 years old,United States of America,Bachelor’s degree,12.0,Remote,160000.0
63787,Over 45,United States of America,Less than a Bachelors,1.0,Person,48000.0
63788,35-44 years old,Portugal,Master’s degree,4.0,Remote,24312.0
63791,25-34 years old,Spain,Bachelor’s degree,1.0,Remote,23462.0
63792,25-34 years old,Czech Republic,Bachelor’s degree,11.0,Person,46248.0
63795,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,Remote,72871.0
63797,25-34 years old,United States of America,Less than a Bachelors,3.0,Person,50000.0
63800,25-34 years old,United States of America,Master’s degree,10.0,Hybrid,130000.0
63801,25-34 years old,Canada,Less than a Bachelors,5.0,Hybrid,58563.0
63802,35-44 years old,Canada,Post grad,8.0,Hybrid,101509.0
63803,35-44 years old,United States of America,Bachelor’s degree,18.0,Hybrid,112000.0
63806,35-44 years old,Canada,Less than a Bachelors,22.0,Hybrid,78084.0
63807,25-34 years old,United States of America,Bachelor’s degree,9.0,Hybrid,105000.0
63808,35-44 years old,Spain,Less than a Bachelors,6.0,Remote,37325.0
63812,35-44 years old,Canada,Less than a Bachelors,22.0,Remote,296720.0
63816,35-44 years old,United States of America,Bachelor’s degree,12.0,Remote,135000.0
63818,Over 45,United States of America,Bachelor’s degree,30.0,Remote,109000.0
63820,Over 45,United States of America,Master’s degree,42.0,Hybrid,265000.0
63821,35-44 years old,United States of America,Bachelor’s degree,15.0,Remote,116000.0
63823,35-44 years old,United States of America,Master’s degree,6.0,Remote,180000.0
63824,25-34 years old,Denmark,Less than a Bachelors,10.0,Hybrid,123888.0
63829,25-34 years old,Canada,Post grad,4.0,Hybrid,138990.0
63838,35-44 years old,Poland,Master’s degree,11.0,Hybrid,41628.0
63846,35-44 years old,United States of America,Master’s degree,15.0,Hybrid,155000.0
63848,35-44 years old,United States of America,Bachelor’s degree,14.0,Remote,175000.0
63849,Over 45,United States of America,Master’s degree,25.0,Hybrid,120000.0
63851,25-34 years old,Canada,Bachelor’s degree,10.0,Remote,126496.0
63864,35-44 years old,Germany,Post grad,5.0,Remote,71664.0
63865,35-44 years old,France,Master’s degree,5.0,Hybrid,63986.0
63867,18-24 years old,United States of America,Less than a Bachelors,2.0,Person,33280.0
63868,25-34 years old,United States of America,Bachelor’s degree,7.0,Remote,93000.0
63872,Over 45,United States of America,Post grad,35.0,Remote,108000.0
63875,35-44 years old,United States of America,Bachelor’s degree,18.0,Hybrid,180000.0
63876,25-34 years old,Mexico,Bachelor’s degree,9.0,Remote,22884.0
63880,Over 45,United States of America,Bachelor’s degree,13.0,Remote,115000.0
63887,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,Hybrid,67782.0
63888,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,Remote,103024.0
63892,35-44 years old,United States of America,Master’s degree,15.0,Remote,150000.0
63895,35-44 years old,Canada,Bachelor’s degree,7.0,Remote,85893.0
63898,25-34 years old,Netherlands,Master’s degree,7.0,Remote,90647.0
63901,35-44 years old,Spain,Less than a Bachelors,9.0,Person,29860.0
63902,65 years or older,United States of America,Bachelor’s degree,43.0,Remote,100000.0
63903,35-44 years old,United States of America,Master’s degree,10.0,Remote,100000.0
63905,25-34 years old,United States of America,Master’s degree,1.0,Remote,125000.0
63906,25-34 years old,India,Bachelor’s degree,7.0,Remote,38692.0
63911,Over 45,United States of America,Less than a Bachelors,34.0,Remote,192000.0
63912,25-34 years old,Canada,Bachelor’s degree,5.0,Hybrid,117126.0
63915,35-44 years old,United States of America,Master’s degree,5.0,Hybrid,130000.0
63916,25-34 years old,United States of America,Bachelor’s degree,14.0,Person,90000.0
63918,25-34 years old,Canada,Less than a Bachelors,9.0,Remote,89797.0
63919,Over 45,United States of America,Master’s degree,28.0,Remote,200000.0
63920,18-24 years old,Canada,Bachelor’s degree,0.5,Remote,66372.0
63921,Over 45,United States of America,Bachelor’s degree,33.0,Remote,150000.0
63922,18-24 years old,United States of America,Bachelor’s degree,4.0,Person,84000.0
63924,18-24 years old,France,Master’s degree,5.0,Hybrid,47990.0
63925,35-44 years old,United States of America,Bachelor’s degree,1.0,Person,92000.0
63927,25-34 years old,United States of America,Less than a Bachelors,6.0,Person,105000.0
63928,Over 45,United States of America,Bachelor’s degree,22.0,Remote,155000.0
63930,25-34 years old,United States of America,Bachelor’s degree,2.0,Person,115000.0
63932,25-34 years old,United States of America,Bachelor’s degree,7.0,Remote,85000.0
63934,25-34 years old,Canada,Bachelor’s degree,4.0,Hybrid,103852.0
63936,25-34 years old,United States of America,Less than a Bachelors,10.0,Remote,190000.0
63937,25-34 years old,United States of America,Bachelor’s degree,8.0,Remote,85000.0
63938,35-44 years old,United States of America,Bachelor’s degree,10.0,Person,123000.0
63945,Over 45,Spain,Master’s degree,22.0,Hybrid,53322.0
63948,25-34 years old,Italy,Bachelor’s degree,5.0,Hybrid,35192.0
63950,18-24 years old,United States of America,Less than a Bachelors,3.0,Person,44000.0
63954,35-44 years old,United States of America,Bachelor’s degree,18.0,Person,155000.0
63955,25-34 years old,Brazil,Post grad,2.0,Person,10536.0
63957,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,Remote,71614.0
